example_id,build_id,document_id,page_id,dataset,document_type,language,project_split,split_group_id,token_source,image_path,normalized_annotation_path,model_example_path,ocr_route,token_count,label_count,entity_count,relation_count,canonical_field_count,alignment_coverage,entity_retention_rate,relation_retention_rate,canonical_retention_rate,data_quality_score,inference_realistic,is_private,is_usable,exclusion_reason,profile
fatura_page_a8f9a2ff403269__ground_truth,final-4afac97814f51edf,fatura_doc_f87bb1e19cb22e,fatura_page_a8f9a2ff403269,fatura,invoice,tr,train,split_dd9863a94fe37d16,ground_truth,data/raw/public/fatura/invoices_dataset_final/images/Template29_Instance29.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_a8f9a2ff403269.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\ground_truth\fatura_page_a8f9a2ff403269.json,,90,90,7,0,8,1.0,1.0,1.0,1.0,1.0,false,false,true,,final
fatura_page_a8f9a2ff403269__hybrid,final-4afac97814f51edf,fatura_doc_f87bb1e19cb22e,fatura_page_a8f9a2ff403269,fatura,invoice,tr,train,split_dd9863a94fe37d16,hybrid,data/raw/public/fatura/invoices_dataset_final/images/Template29_Instance29.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_a8f9a2ff403269.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\hybrid\fatura_page_a8f9a2ff403269.json,general,118,118,7,0,8,0.9888888888888889,1.0,1.0,1.0,0.7164820287887169,false,false,true,,final
fatura_page_a8f9a2ff403269__paddleocr,final-4afac97814f51edf,fatura_doc_f87bb1e19cb22e,fatura_page_a8f9a2ff403269,fatura,invoice,tr,train,split_dd9863a94fe37d16,paddleocr,data/raw/public/fatura/invoices_dataset_final/images/Template29_Instance29.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_a8f9a2ff403269.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\paddleocr\fatura_page_a8f9a2ff403269.json,general,51,51,6,0,8,0.9888888888888889,0.8571428571428571,1.0,1.0,0.9117196864698306,true,false,true,,final
fatura_page_7117ab6baab74d__ground_truth,final-4afac97814f51edf,fatura_doc_75fea8e53a763e,fatura_page_7117ab6baab74d,fatura,invoice,tr,train,split_a369fad3a5b223a2,ground_truth,data/raw/public/fatura/invoices_dataset_final/images/Template25_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_7117ab6baab74d.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\ground_truth\fatura_page_7117ab6baab74d.json,,57,57,8,0,7,1.0,1.0,1.0,1.0,1.0,false,false,true,,final
fatura_page_7117ab6baab74d__hybrid,final-4afac97814f51edf,fatura_doc_75fea8e53a763e,fatura_page_7117ab6baab74d,fatura,invoice,tr,train,split_a369fad3a5b223a2,hybrid,data/raw/public/fatura/invoices_dataset_final/images/Template25_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_7117ab6baab74d.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\hybrid\fatura_page_7117ab6baab74d.json,general,75,75,8,0,7,0.9473684210526315,1.0,1.0,1.0,0.7391895503600752,false,false,true,,final
fatura_page_7117ab6baab74d__paddleocr,final-4afac97814f51edf,fatura_doc_75fea8e53a763e,fatura_page_7117ab6baab74d,fatura,invoice,tr,train,split_a369fad3a5b223a2,paddleocr,data/raw/public/fatura/invoices_dataset_final/images/Template25_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_7117ab6baab74d.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\paddleocr\fatura_page_7117ab6baab74d.json,general,36,36,6,0,7,0.9473684210526315,0.75,1.0,1.0,0.8986557037778277,true,false,true,,final
fatura_page_1ea6102fe0f700__ground_truth,final-4afac97814f51edf,fatura_doc_a33997e3deb341,fatura_page_1ea6102fe0f700,fatura,invoice,tr,train,split_46bb3e32f9e48856,ground_truth,data/raw/public/fatura/invoices_dataset_final/images/Template39_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_1ea6102fe0f700.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\ground_truth\fatura_page_1ea6102fe0f700.json,,71,71,6,0,6,1.0,1.0,1.0,1.0,1.0,false,false,true,,final
fatura_page_1ea6102fe0f700__hybrid,final-4afac97814f51edf,fatura_doc_a33997e3deb341,fatura_page_1ea6102fe0f700,fatura,invoice,tr,train,split_46bb3e32f9e48856,hybrid,data/raw/public/fatura/invoices_dataset_final/images/Template39_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_1ea6102fe0f700.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\hybrid\fatura_page_1ea6102fe0f700.json,general,91,91,6,0,6,0.9577464788732394,1.0,1.0,1.0,0.713070021769655,false,false,true,,final
fatura_page_1ea6102fe0f700__paddleocr,final-4afac97814f51edf,fatura_doc_a33997e3deb341,fatura_page_1ea6102fe0f700,fatura,invoice,tr,train,split_46bb3e32f9e48856,paddleocr,data/raw/public/fatura/invoices_dataset_final/images/Template39_Instance86.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_1ea6102fe0f700.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\paddleocr\fatura_page_1ea6102fe0f700.json,general,39,39,5,0,6,0.9577464788732394,0.8333333333333334,1.0,1.0,0.9031621748067821,true,false,true,,final
fatura_page_cbdd5eeec70b13__ground_truth,final-4afac97814f51edf,fatura_doc_f72e00eba01944,fatura_page_cbdd5eeec70b13,fatura,invoice,tr,train,split_d15e9cdb7edf3224,ground_truth,data/raw/public/fatura/invoices_dataset_final/images/Template40_Instance104.jpg,data/processed/normalized_ie_annotations/fatura/fatura_page_cbdd5eeec70b13.json,D:\CSX4201\vision-info-extraction-assets\data\model_datasets\final\final-4afac97814f51edf\train\ground_truth\fatura_page_cbdd5eeec70b13.json,,69,69,8,0,6,1.0,1.0,1.0,1.0,1.0,false,false,true,,final
